% 
% 
@RELATION GCH 
@ATTRIBUTE 1 REAL
@ATTRIBUTE 2 REAL
@ATTRIBUTE 3 REAL
@ATTRIBUTE 4 REAL
@ATTRIBUTE 5 REAL
@ATTRIBUTE 6 REAL
@ATTRIBUTE 7 REAL
@ATTRIBUTE 8 REAL
@ATTRIBUTE 9 REAL
@ATTRIBUTE 10 REAL
@ATTRIBUTE 11 REAL
@ATTRIBUTE 12 REAL
@ATTRIBUTE 13 REAL
@ATTRIBUTE 14 REAL
@ATTRIBUTE 15 REAL
@ATTRIBUTE 16 REAL
@ATTRIBUTE 17 REAL
@ATTRIBUTE 18 REAL
@ATTRIBUTE 19 REAL
@ATTRIBUTE 20 REAL
@ATTRIBUTE 21 REAL
@ATTRIBUTE 22 REAL
@ATTRIBUTE 23 REAL
@ATTRIBUTE 24 REAL
@ATTRIBUTE 25 REAL
@ATTRIBUTE 26 REAL
@ATTRIBUTE 27 REAL
@ATTRIBUTE 28 REAL
@ATTRIBUTE 29 REAL
@ATTRIBUTE 30 REAL
@ATTRIBUTE 31 REAL
@ATTRIBUTE 32 REAL
@ATTRIBUTE 33 REAL
@ATTRIBUTE 34 REAL
@ATTRIBUTE 35 REAL
@ATTRIBUTE 36 REAL
@ATTRIBUTE 37 REAL
@ATTRIBUTE 38 REAL
@ATTRIBUTE 39 REAL
@ATTRIBUTE 40 REAL
@ATTRIBUTE 41 REAL
@ATTRIBUTE 42 REAL
@ATTRIBUTE 43 REAL
@ATTRIBUTE 44 REAL
@ATTRIBUTE 45 REAL
@ATTRIBUTE 46 REAL
@ATTRIBUTE 47 REAL
@ATTRIBUTE 48 REAL
@ATTRIBUTE 49 REAL
@ATTRIBUTE 50 REAL
@ATTRIBUTE 51 REAL
@ATTRIBUTE 52 REAL
@ATTRIBUTE 53 REAL
@ATTRIBUTE 54 REAL
@ATTRIBUTE 55 REAL
@ATTRIBUTE 56 REAL
@ATTRIBUTE 57 REAL
@ATTRIBUTE 58 REAL
@ATTRIBUTE 59 REAL
@ATTRIBUTE 60 REAL
@ATTRIBUTE 61 REAL
@ATTRIBUTE 62 REAL
@ATTRIBUTE 63 REAL
@ATTRIBUTE 64 REAL
@ATTRIBUTE 65 REAL
@ATTRIBUTE 66 REAL
@ATTRIBUTE class {c02, c01, c04, c03, c05} 

@DATA 
11777.0,8659.0,11159.0,21235.0,45881.0,85729.0,124508.0,150764.0,156957.0,159686.0,176140.0,249242.0,389992.0,476288.0,511704.0,447963.0,102756.0,12254.0,2563.0,416.0,50.0,5.0,63533.0,88187.0,135880.0,159441.0,162248.0,170109.0,204183.0,291426.0,346668.0,311378.0,271836.0,282857.0,253077.0,163890.0,77445.0,43245.0,52929.0,66121.0,1171.0,102.0,2.0,0.0,8256.0,4666.0,1209.0,197.0,20.0,87.0,589.0,4088.0,15274.0,54729.0,134252.0,214826.0,273354.0,383658.0,636027.0,751917.0,523958.0,125442.0,11837.0,1252.0,88.0,2.0,c01
9508.0,7635.0,6457.0,13749.0,36983.0,89674.0,150382.0,203795.0,220540.0,202598.0,188794.0,217383.0,304376.0,380951.0,378219.0,319097.0,270305.0,126093.0,15633.0,3055.0,440.0,61.0,54389.0,106215.0,198186.0,254417.0,245268.0,233376.0,267957.0,338985.0,330963.0,261805.0,190314.0,152199.0,132849.0,104259.0,67705.0,44423.0,32866.0,32934.0,90398.0,6086.0,130.0,4.0,7223.0,5312.0,1700.0,80.0,8.0,50.0,273.0,1446.0,6241.0,29636.0,99936.0,234273.0,351759.0,390205.0,509734.0,593387.0,453161.0,282866.0,152000.0,24596.0,1683.0,159.0,c01
11442.0,6663.0,8744.0,17775.0,36713.0,65781.0,104369.0,142586.0,157422.0,153750.0,150569.0,175664.0,251633.0,323043.0,323830.0,342532.0,775683.0,84335.0,10829.0,2021.0,311.0,33.0,53960.0,71447.0,125354.0,167917.0,171615.0,167112.0,182775.0,238285.0,258907.0,222356.0,174589.0,144683.0,121070.0,104218.0,82882.0,68767.0,70588.0,456539.0,260360.0,2103.0,187.0,14.0,8190.0,4446.0,1292.0,369.0,24.0,9.0,189.0,2137.0,10826.0,37810.0,94541.0,187725.0,261662.0,313905.0,434395.0,483610.0,408317.0,662641.0,227399.0,5786.0,427.0,28.0,c01
10497.0,9241.0,8588.0,14842.0,28134.0,57731.0,108385.0,168642.0,203539.0,215419.0,215047.0,247480.0,315126.0,344701.0,304278.0,312419.0,517934.0,52505.0,8978.0,1897.0,316.0,29.0,55024.0,73043.0,154250.0,222182.0,240954.0,256523.0,284945.0,318758.0,280313.0,208619.0,150693.0,114378.0,93011.0,75307.0,58344.0,49763.0,53011.0,325123.0,130388.0,1043.0,56.0,0.0,7340.0,4930.0,1721.0,305.0,37.0,67.0,363.0,2591.0,11311.0,33422.0,102104.0,240021.0,365967.0,465021.0,544805.0,446301.0,334770.0,420517.0,159185.0,4559.0,366.0,25.0,c01
10177.0,5873.0,5691.0,15026.0,34839.0,77123.0,137647.0,188976.0,208701.0,218249.0,229734.0,274690.0,356387.0,395791.0,375758.0,349448.0,204499.0,47690.0,7815.0,1406.0,194.0,14.0,47437.0,78527.0,156350.0,214118.0,231733.0,244737.0,266338.0,315123.0,317809.0,290069.0,249119.0,238548.0,211207.0,138873.0,70169.0,36060.0,21406.0,13675.0,4204.0,209.0,17.0,0.0,6477.0,5590.0,1904.0,316.0,38.0,21.0,95.0,918.0,5760.0,27933.0,88511.0,214355.0,333238.0,425076.0,567598.0,632588.0,524041.0,251033.0,53500.0,5967.0,704.0,65.0,c01
8651.0,10008.0,10202.0,22054.0,41456.0,75938.0,124919.0,176913.0,203688.0,207156.0,193683.0,172737.0,169703.0,185499.0,225155.0,283872.0,331259.0,336827.0,246434.0,91188.0,23566.0,4820.0,91172.0,122726.0,201866.0,235788.0,223896.0,203458.0,184069.0,189198.0,207748.0,242692.0,262932.0,251455.0,225380.0,188434.0,128326.0,72532.0,44131.0,28174.0,18286.0,13996.0,8699.0,770.0,6355.0,4976.0,2534.0,412.0,44.0,9.0,48.0,558.0,3118.0,16900.0,50698.0,125691.0,241970.0,317755.0,341023.0,350970.0,419350.0,510239.0,455195.0,226024.0,61863.0,9996.0,c01
7970.0,8298.0,4845.0,10107.0,22085.0,47770.0,95287.0,155666.0,206322.0,234191.0,225741.0,200671.0,185637.0,187653.0,220830.0,285186.0,349010.0,349154.0,242407.0,85674.0,17790.0,3434.0,55833.0,96118.0,186073.0,255576.0,261150.0,232205.0,200954.0,204771.0,223846.0,261167.0,283940.0,266137.0,216739.0,158767.0,100615.0,58217.0,33364.0,21044.0,12171.0,7965.0,8632.0,444.0,5742.0,5362.0,2545.0,628.0,42.0,2.0,276.0,498.0,1994.0,9251.0,32027.0,105039.0,230890.0,346415.0,372553.0,363862.0,419176.0,522626.0,444374.0,216384.0,57451.0,8591.0,c01
8766.0,7134.0,4841.0,10529.0,20796.0,49211.0,105376.0,174232.0,219686.0,234784.0,219886.0,198149.0,186421.0,197955.0,220078.0,241594.0,270800.0,329283.0,323921.0,106073.0,14198.0,2015.0,44573.0,90412.0,194858.0,265304.0,261544.0,236225.0,213433.0,215233.0,208659.0,197728.0,181023.0,175505.0,174171.0,181843.0,168866.0,124051.0,81956.0,54025.0,35785.0,28113.0,12153.0,268.0,6126.0,5485.0,2249.0,432.0,34.0,10.0,43.0,204.0,1284.0,6575.0,27508.0,100144.0,242643.0,357587.0,378983.0,375538.0,386817.0,397576.0,425502.0,312334.0,107851.0,10803.0,c01
8443.0,5894.0,1934.0,4697.0,12373.0,35741.0,80026.0,137878.0,192260.0,237137.0,246139.0,228526.0,207147.0,203755.0,225965.0,246109.0,282379.0,362021.0,335844.0,82552.0,7825.0,1083.0,34173.0,70198.0,155456.0,228468.0,270647.0,265257.0,229813.0,215139.0,204145.0,192845.0,177595.0,171134.0,166738.0,172702.0,186917.0,167601.0,106111.0,58974.0,35433.0,23306.0,12582.0,494.0,6198.0,5406.0,2139.0,525.0,49.0,17.0,20.0,302.0,1294.0,6035.0,25474.0,93114.0,205363.0,328942.0,390926.0,378715.0,366034.0,388754.0,435043.0,377913.0,123335.0,10130.0,c01
9558.0,10324.0,11607.0,24329.0,49306.0,90005.0,137217.0,187777.0,213403.0,213631.0,191045.0,168364.0,165594.0,181608.0,222808.0,281717.0,333074.0,336813.0,227335.0,71046.0,16186.0,2981.0,100210.0,137200.0,217723.0,248385.0,230180.0,199902.0,177912.0,182019.0,195848.0,229936.0,258643.0,259572.0,233144.0,185463.0,116390.0,71125.0,43138.0,26989.0,16506.0,10294.0,4850.0,299.0,5675.0,5095.0,2804.0,671.0,85.0,40.0,121.0,911.0,4864.0,21845.0,65752.0,150697.0,263114.0,332694.0,330006.0,328214.0,391388.0,492336.0,449387.0,228877.0,61467.0,9685.0,c01
